Date : 2025-04-07 21:19:40
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 112 files,  3776 codes, 103 comments, 809 blanks, all 4688 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Python                  |         87 |      1,867 |         84 |        545 |      2,496 |
| HTML                    |         22 |      1,414 |         19 |        258 |      1,691 |
| XML                     |          1 |        396 |          0 |          3 |        399 |
| sqlite3-editor-database |          1 |         86 |          0 |          2 |         88 |
| JavaScript              |          1 |         13 |          0 |          1 |         14 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        112 |      3,776 |        103 |        809 |      4,688 |
| . (Files)                                                                                                                               |          2 |        105 |          1 |          9 |        115 |
| chat                                                                                                                                    |         11 |        224 |          6 |         65 |        295 |
| chat (Files)                                                                                                                            |          7 |        129 |          5 |         42 |        176 |
| chat\migrations                                                                                                                         |          2 |         42 |          1 |          8 |         51 |
| chat\templates                                                                                                                          |          2 |         53 |          0 |         15 |         68 |
| chat\templates\chat                                                                                                                     |          2 |         53 |          0 |         15 |         68 |
| config                                                                                                                                  |          5 |        160 |         17 |         74 |        251 |
| friendsearch                                                                                                                            |         15 |        797 |         29 |        156 |        982 |
| friendsearch (Files)                                                                                                                    |          9 |        185 |         13 |         63 |        261 |
| friendsearch\migrations                                                                                                                 |          3 |         46 |          2 |         14 |         62 |
| friendsearch\templates                                                                                                                  |          3 |        566 |         14 |         79 |        659 |
| friendsearch\templates\friendsearch                                                                                                     |          3 |        566 |         14 |         79 |        659 |
| notifications                                                                                                                           |         10 |         90 |          2 |         26 |        118 |
| notifications (Files)                                                                                                                   |          7 |         46 |          1 |         17 |         64 |
| notifications\migrations                                                                                                                |          2 |         27 |          1 |          8 |         36 |
| notifications\templates                                                                                                                 |          1 |         17 |          0 |          1 |         18 |
| notifications\templates\notifications                                                                                                   |          1 |         17 |          0 |          1 |         18 |
| posts                                                                                                                                   |         12 |        661 |         18 |        129 |        808 |
| posts (Files)                                                                                                                           |          8 |        294 |         13 |         73 |        380 |
| posts\migrations                                                                                                                        |          3 |         78 |          2 |         14 |         94 |
| posts\templates                                                                                                                         |          1 |        289 |          3 |         42 |        334 |
| posts\templates\posts                                                                                                                   |          1 |        289 |          3 |         42 |        334 |
| registerandlogin                                                                                                                        |         33 |        837 |         19 |        215 |      1,071 |
| registerandlogin (Files)                                                                                                                |          9 |        442 |          7 |         94 |        543 |
| registerandlogin\migrations                                                                                                             |         13 |        239 |         12 |         74 |        325 |
| registerandlogin\templates                                                                                                              |         11 |        156 |          0 |         47 |        203 |
| registerandlogin\templates\registerandlogin                                                                                             |         11 |        156 |          0 |         47 |        203 |
| sitesettings                                                                                                                            |          9 |         28 |          4 |         19 |         51 |
| sitesettings (Files)                                                                                                                    |          7 |         17 |          3 |         13 |         33 |
| sitesettings\migrations                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| sitesettings\templates                                                                                                                  |          1 |         11 |          1 |          5 |         17 |
| sitesettings\templates\sitesettings                                                                                                     |          1 |         11 |          1 |          5 |         17 |
| static                                                                                                                                  |          2 |        409 |          0 |          4 |        413 |
| static\js                                                                                                                               |          1 |         13 |          0 |          1 |         14 |
| static\maps                                                                                                                             |          1 |        396 |          0 |          3 |        399 |
| templates                                                                                                                               |          1 |         73 |          1 |          6 |         80 |
| userprofile                                                                                                                             |         12 |        392 |          6 |        106 |        504 |
| userprofile (Files)                                                                                                                     |          8 |        121 |          5 |         35 |        161 |
| userprofile\migrations                                                                                                                  |          2 |         22 |          1 |          8 |         31 |
| userprofile\templates                                                                                                                   |          2 |        249 |          0 |         63 |        312 |
| userprofile\templates\userprofile                                                                                                       |          2 |        249 |          0 |         63 |        312 |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                                | language                | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| c:\Users\Jolan\Desktop\proximitylinked\chat\__init__.py                                                                                 | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\admin.py                                                                                    | Python                  |         17 |          0 |          4 |         21 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\apps.py                                                                                     | Python                  |          4 |          0 |          3 |          7 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\migrations\0001_initial.py                                                                  | Python                  |         42 |          1 |          7 |         50 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\migrations\__init__.py                                                                      | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\models.py                                                                                   | Python                  |         42 |          1 |         11 |         54 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\templates\chat\chat.html                                                                    | HTML                    |         24 |          0 |          9 |         33 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\templates\chat\index.html                                                                   | HTML                    |         29 |          0 |          6 |         35 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\tests.py                                                                                    | Python                  |          1 |          1 |          2 |          4 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\urls.py                                                                                     | Python                  |          7 |          0 |          3 |         10 |
| c:\Users\Jolan\Desktop\proximitylinked\chat\views.py                                                                                    | Python                  |         58 |          3 |         18 |         79 |
| c:\Users\Jolan\Desktop\proximitylinked\config\__init__.py                                                                               | Python                  |          0 |          0 |          1 |          1 |
| c:\Users\Jolan\Desktop\proximitylinked\config\asgi.py                                                                                   | Python                  |         10 |          0 |          7 |         17 |
| c:\Users\Jolan\Desktop\proximitylinked\config\settings.py                                                                               | Python                  |        105 |         17 |         52 |        174 |
| c:\Users\Jolan\Desktop\proximitylinked\config\urls.py                                                                                   | Python                  |         33 |          0 |          5 |         38 |
| c:\Users\Jolan\Desktop\proximitylinked\config\wsgi.py                                                                                   | Python                  |         12 |          0 |          9 |         21 |
